,Insertion Sort,Selection Sort
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,8114000
11,0,0
12,0,0
13,0,0
14,0,0
15,7988000,0
16,0,0
17,0,8141000
18,0,0
19,0,0
20,0,8099000
21,0,8000000
22,0,0
23,0,8001000
24,0,7999000
25,0,8008000
26,0,0
27,0,7994000
28,0,8003000
29,0,16014000
30,0,16019000
31,0,7995000
32,0,16495000
33,0,8107000
34,0,15990000
35,0,8011000
36,0,15998000
37,0,15916000
38,0,8075000
39,8009000,16021000
40,0,15968000
41,0,16018000
42,0,23989000
43,0,16013000
44,0,23970000
45,0,16006000
46,0,32524000
47,0,24008000
48,0,24006000
49,0,31979000
50,0,23998000
51,0,23997000
52,0,32006000
53,0,39990000
54,0,32004000
55,0,31996000
56,0,31996000
57,0,40027000
58,0,39987000
59,0,39996000
60,8008000,39782000
61,0,48046000
62,0,39957000
63,0,40005000
64,0,48599000
65,0,48002000
66,0,48004000
67,0,55991000
68,0,56002000
69,0,48006000
70,0,51729000
71,0,47992000
72,0,55997000
73,0,56039000
74,0,55958000
75,0,55996000
76,0,64016000
77,0,63997000
78,0,56008000
79,7978000,56004000
80,7999000,64003000
81,0,63993000
82,0,72002000
83,0,64005000
84,8002000,71994000
85,0,72000000
86,0,91178000
87,0,88010000
88,0,88027000
89,0,88089000
90,7919000,95955000
91,0,88019000
92,8018000,95969000
93,0,104000000
94,0,103988000
95,0,104010000
96,8016000,107739000
97,0,103998000
98,8012000,112013000
99,0,111998000
100,0,119976000
101,0,104001000
102,8000000,128008000
103,0,111987000
104,0,119919000
105,0,120114000
106,0,113586000
107,8018000,111985000
108,8001000,136135000
109,0,120397000
110,7986000,136017000
111,0,127981000
112,0,131328000
113,0,128096000
114,0,136004000
115,7990000,128016000
116,0,135994000
117,0,168058000
118,7980000,175961000
119,8065000,168613000
120,0,167883000
121,0,168564000
122,8024000,159979000
123,0,184520000
124,0,222186000
125,3638000,202144000
126,0,198537000
127,0,200809000
128,0,175997000
129,7975000,200769000
130,8139000,217801000
131,0,239997000
132,0,240722000
133,0,232237000
134,0,230462000
135,8007000,216557000
136,3509000,204744000
137,7990000,191972000
138,0,216640000
139,7997000,201659000
140,0,207991000
141,0,217095000
142,0,207995000
143,7995000,221978000
144,0,240031000
145,0,264012000
146,7967000,248005000
147,7999000,262116000
148,3430000,264736000
149,8006000,256335000
150,8000000,248007000
151,0,243425000
152,0,297141000
153,7998000,264107000
154,0,264543000
155,0,263981000
156,0,264417000
157,0,304436000
158,8038000,307533000
159,0,295980000
160,0,312498000
161,8002000,298696000
162,7997000,321041000
163,8006000,313038000
164,8000000,325939000
165,0,335655000
166,8032000,337053000
167,0,320771000
168,8004000,336005000
169,0,418142000
170,0,347387000
171,0,344110000
172,0,386465000
173,7975000,344349000
174,0,328018000
175,7988000,376393000
176,0,374644000
177,0,384269000
178,0,402975000
179,8020000,407801000
180,0,360002000
181,0,364994000
182,0,368390000
183,0,367993000
184,0,376118000
185,0,376002000
186,0,382963000
187,8003000,376325000
188,0,360000000
189,8000000,368007000
190,8003000,375995000
191,7999000,400013000
192,8185000,395395000
193,7996000,391980000
194,0,433904000
195,8037000,424969000
196,0,438436000
197,8012000,472464000
198,0,463968000
199,7994000,513885000
200,8051000,510741000
201,0,595731000
202,0,539030000
203,0,505780000
204,0,468555000
205,0,431999000
206,8002000,441393000
207,8006000,461665000
208,0,452391000
209,0,866455000
210,8531000,1229834000
211,15883000,1185213000
212,7986000,1220500000
213,7978000,1195296000
214,7962000,1183445000
215,8020000,1217343000
216,8098000,1209108000
217,7983000,1230894000
218,8027000,1252824000
219,8001000,1272466000
220,7984000,1291767000
221,7982000,1314451000
222,11793000,1287124000
223,7400000,1315779000
224,7999000,1325152000
225,15900000,1312079000
226,16008000,1334746000
227,10629000,1327884000
228,8279000,1378228000
229,8953000,1373788000
230,3102000,1375709000
231,16093000,1405521000
232,7977000,1409662000
233,7960000,1418214000
234,4900000,1427361000
235,8024000,1456855000
236,8127000,1453533000
237,7998000,1479717000
238,8018000,1484621000
239,16005000,1503976000
240,16000000,1490488000
241,16135000,1529447000
242,7998000,1536904000
243,8010000,1568488000
244,8019000,1556328000
245,8036000,1559662000
246,7983000,1587674000
247,8000000,1575513000
248,15966000,1631352000
249,7969000,1610558000
250,8002000,1642408000
251,8228000,1680886000
252,8022000,1688871000
253,15471000,1807457000
254,16203000,1875961000
255,16888000,1906137000
256,16128000,1149717000
257,0,730974000
258,7998000,802050000
259,7886000,833924000
260,8000000,755253000
261,8002000,816173000
262,0,722170000
263,0,976335000
264,8012000,865348000
265,0,772285000
266,8007000,1080373000
267,8407000,1053281000
268,0,1039218000
269,0,860987000
270,0,869349000
271,8002000,828076000
272,7996000,827538000
273,7990000,792582000
274,0,809750000
275,7999000,832879000
276,8007000,841809000
277,0,816967000
278,8002000,881751000
279,5712000,810848000
280,7988000,833201000
281,7987000,832613000
282,7990000,831997000
283,7999000,824010000
284,0,871897000
285,0,864861000
286,0,839999000
287,0,856003000
288,7997000,864152000
289,8000000,857380000
290,0,880869000
291,0,872004000
292,0,880506000
293,7999000,867053000
294,8001000,898276000
295,0,891075000
296,7504000,899036000
297,8003000,905889000
298,8000000,938122000
299,7998000,905872000
300,0,932651000
301,7999000,965325000
302,7998000,931426000
303,0,948642000
304,7999000,962537000
305,8032000,1048657000
306,8002000,1014756000
307,0,5819622000
308,0,1068667000
309,0,1052571000
310,7983000,1025595000
311,0,1035368000
312,8674000,2606204000
313,16000000,2628794000
314,16173000,2670727000
315,15886000,2665623000
316,7980000,2718703000
317,8197000,2753414000
318,16009000,2819058000
319,8018000,2750350000
320,16297000,1854029000
321,7993000,1302675000
322,8022000,1347584000
323,8001000,1269738000
324,0,1224927000
325,8001000,1187089000
326,8091000,1143909000
327,8084000,1152479000
328,8000000,1144415000
329,0,1178161000
330,7989000,1208724000
331,0,1192695000
332,8011000,1177690000
333,7983000,1208803000
334,0,1314894000
335,8000000,1380303000
336,7995000,1260146000
337,8087000,1208219000
338,7911000,1224877000
339,0,1347507000
340,7998000,1296182000
341,0,1265169000
342,8003000,1248485000
343,0,1313872000
344,7988000,1281205000
345,7997000,1313117000
346,8000000,1353891000
347,7996000,1291151000
348,8090000,1280552000
349,7912000,1320227000
350,7994000,1296634000
351,0,1330178000
352,8006000,1328919000
353,8007000,1345700000
354,8000000,1328006000
355,7995000,1375417000
356,8086000,1321392000
357,8090000,1385652000
358,7994000,1393926000
359,8000000,1404031000
360,8001000,1456481000
361,8000000,1453515000
362,0,1512598000
363,7996000,1473639000
364,8001000,1434771000
365,7909000,1472585000
366,8000000,1505818000
367,8001000,1870260000
368,7915000,1746519000
369,8076000,1572712000
370,7981000,2128054000
371,16014000,3078588000
372,20035000,3699935000
373,13623000,3768939000
374,20488000,3795950000
375,22365000,3775595000
376,10390000,3918921000
377,15745000,3905948000
378,23161000,3968691000
379,24124000,3965276000
380,22796000,3930488000
381,16007000,3865187000
382,15685000,3942057000
383,16110000,3937605000
384,24474000,3973167000
385,18403000,4087663000
386,16001000,4057590000
387,22939000,4050159000
388,17598000,4100471000
389,21873000,4123621000
390,16516000,4174912000
391,16014000,4123906000
392,18469000,4139317000
393,20374000,4194970000
394,12769000,4192369000
395,16122000,4199406000
396,17530000,4223932000
397,21250000,4241357000
398,17922000,4263862000
399,18601000,4300809000
400,22469000,4354482000
401,21545000,4323372000
402,13121000,4352315000
403,17794000,4343124000
404,25279000,4457737000
405,2393000,4407703000
406,19919000,4510840000
407,23522000,4543273000
408,19798000,4566426000
409,24979000,4599328000
410,16006000,4602221000
411,18219000,4593489000
412,21678000,4622375000
413,19153000,4667097000
414,16341000,4548457000
415,20633000,4899890000
416,18200000,4763782000
417,20143000,4760870000
418,22568000,4767015000
419,24194000,4771869000
420,13597000,4791163000
421,17025000,4794518000
422,13138000,4791153000
423,16118000,4857010000
424,23368000,4839039000
425,15195000,4606128000
426,8127000,4833733000
427,16096000,2088950000
428,7506000,1884550000
429,8001000,1993549000
430,8010000,1967164000
431,7991000,2275471000
432,8027000,2073421000
433,7989000,2123268000
434,7997000,2098928000
435,8001000,2081827000
436,8004000,2104846000
437,8015000,2123732000
438,8092000,2122075000
439,8006000,2147884000
440,8017000,2136115000
441,8005000,2116552000
442,8109000,2137323000
443,8002000,2201485000
444,7982000,2121824000
445,0,2217653000
446,8401000,2202361000
447,8021000,2170285000
448,7996000,2155184000
449,7995000,2179620000
450,15913000,2266297000
451,7981000,2205392000
452,8001000,2234471000
453,7998000,2242660000
454,8000000,2250500000
455,7994000,2266478000
456,0,2224859000
457,7993000,2275949000
458,7990000,2276953000
459,8002000,2330148000
460,8007000,2298922000
461,8084000,2282456000
462,15960000,2377604000
463,8016000,2314190000
464,8102000,2417756000
465,8000000,2421033000
466,7999000,2377162000
467,8005000,2387061000
468,8027000,2352692000
469,8119000,2433219000
470,8000000,2485028000
471,15886000,2527537000
472,8006000,2435345000
473,0,2481227000
474,8009000,2458407000
475,8001000,2473676000
476,7997000,2476770000
477,8000000,2543078000
478,8229000,2482092000
479,7991000,2481583000
480,7977000,2498729000
481,7998000,2461043000
482,7999000,2561691000
483,7996000,2525848000
484,8584000,2553578000
485,7996000,2611048000
486,8000000,2609833000
487,7989000,2593791000
488,8001000,2650358000
489,7992000,2586303000
490,8627000,2642330000
491,8093000,2621133000
492,8006000,2652596000
493,7990000,2665968000
494,7984000,2642340000
495,15904000,2699106000
496,16016000,2713631000
497,8267000,2672831000
498,8021000,2715650000
499,16085000,2746877000
500,7988000,2796456000
501,8006000,2777807000
502,7995000,2756848000
503,7915000,2739087000
504,8005000,2863205000
505,8105000,3075562000
506,11369000,2958099000
507,24058000,4.41742E+11
508,9000000,4445407000
509,22942000,7149775000
510,22068000,5478685000
511,12731000,3272198000
512,12012000,3123746000
513,9991000,2906003000
514,9003000,2977830000
515,11001000,3002009000
516,13995000,4148416000
517,11916000,6341465000
518,23612000,7171768000
519,24083000,7187228000
520,22602000,6699103000
521,22545000,6507996000
522,17000000,6864469000
523,17568000,7118928000
524,16253000,7290424000
525,24922000,7136049000
526,24482000,7352030000
527,23998000,7475681000
528,27995000,7366896000
529,24001000,7439437000
530,27006000,7499481000
531,23998000,7273311000
532,24008000,7593814000
533,26008000,7846757000
534,25969000,7884813000
535,21000000,7857984000
536,21969000,7937749000
537,23927000,7768803000
538,22992000,7808548000
539,27118000,8285412000
540,28151000,8041463000
541,23992000,7898969000
542,25952000,7849631000
543,23036000,7974537000
544,18534000,8020011000
545,26919000,7727774000
546,25912000,8102387000
547,14999000,8112669000
548,25422000,8165221000
549,28882000,8255234000
550,29076000,8166010000
551,22897000,8371369000
552,24897000,8345680000
553,24965000,8313526000
554,26000000,8526110000
555,24085000,8412517000
556,25103000,8377257000
557,26978000,8369985000
558,25089000,8319281000
559,27007000,8494399000
560,24000000,8502457000
561,27309000,8505623000
562,24984000,8541327000
563,25920000,8783431000
564,32046000,8770888000
565,31997000,8608494000
566,24000000,8742138000
567,23985000,8745316000
568,23537000,8686754000
569,23996000,8929553000
570,32013000,8708080000
571,24020000,8758666000
572,32009000,8941853000
573,31994000,8930718000
574,24018000,9013992000
575,24002000,8978688000
576,24116000,8830892000
577,15998000,8279052000
578,23995000,8779386000
579,26240000,9138893000
580,32585000,9219738000
581,29009000,9205932000
582,24019000,9031618000
583,32017000,9259703000
584,15998000,3915653000
585,16007000,4119596000
586,8134000,3899579000
587,7624000,3920758000
588,16135000,3974317000
589,7999000,3950970000
590,8080000,4387155000
591,16507000,4022041000
592,7512000,4497267000
593,16328000,4541079000
594,16000000,4271250000
595,16093000,4112699000
596,15902000,4303080000
597,7999000,4046378000
598,7996000,4374806000
599,16193000,5344044000
600,28106000,9889379000
601,32013000,9922426000
602,32260000,9885422000
603,16016000,4291533000
604,7999000,6842931000
605,32722000,10042164000
606,23994000,10012528000
607,24015000,6349723000
608,8001000,4224215000
609,15896000,4393898000
610,8104000,4312105000
611,8335000,4326181000
612,16419000,4424083000
613,16000000,4550337000
614,15899000,4603208000
615,16832000,4281642000
616,16002000,4323531000
617,23996000,4502472000
618,7997000,4272755000
619,7092000,4575106000
620,17070000,6647810000
621,23986000,10526848000
622,32124000,10508436000
623,24026000,10552308000
624,23975000,10745988000
625,32709000,10708742000
626,32521000,10789202000
627,23999000,10993388000
628,24729000,10835479000
629,32114000,10928340000
630,24511000,10947474000
631,24094000,10963339000
632,23989000,11155336000
633,32149000,11024545000
634,30297000,11078588000
635,29003000,10978082000
636,32238000,11113618000
637,31998000,11062311000
638,31911000,11090422000
639,23997000,11171498000
640,31994000,11095666000
641,31894000,11091006000
642,23206000,11188601000
643,32392000,11205771000
644,32417000,11120883000
645,32092000,11467640000
646,32010000,11330774000
647,32014000,11528428000
648,23971000,9976160000
649,8002000,4704717000
650,7919000,4910549000
651,15983000,4981345000
652,15999000,4863619000
653,16348000,4968894000
654,9844000,4839688000
655,11288000,4779462000
656,7622000,4839193000
657,15990000,4846446000
658,8019000,4845714000
659,16002000,4852553000
660,15905000,4789053000
661,16045000,4843995000
662,16006000,4915500000
663,8087000,4918773000
664,16009000,4875495000
665,8090000,4916289000
666,7999000,5359870000
667,25081000,7084121000
668,15997000,7079790000
669,7982000,6477053000
670,15997000,6540786000
671,16008000,6932754000
672,7987000,7329571000
673,15899000,7057179000
674,15997000,6665425000
675,16116000,7020226000
676,8103000,6890166000
677,15975000,6720294000
678,16015000,7033987000
679,15997000,6784177000
680,16079000,6751599000
681,24094000,6889107000
682,15994000,6804984000
683,31997000,6575276000
684,16021000,6466420000
685,24014000,6557775000
686,8003000,6860657000
687,7986000,6844596000
688,16116000,6786004000
689,23978000,7240416000
690,7997000,6934331000
691,32117000,7246469000
692,32085000,6933623000
693,15983000,6800437000
694,16006000,7464131000
695,24110000,6857673000
696,16271000,7047893000
697,16003000,7047974000
698,16010000,7139019000
699,16007000,7081057000
700,24014000,7003757000
701,16016000,7340270000
702,15960000,8145506000
703,15996000,7463583000
704,16002000,7346380000
705,16006000,7157510000
706,15983000,7294619000
707,15869000,7572488000
708,16001000,7362730000
709,16000000,7677889000
710,16005000,7070163000
711,16008000,7121144000
712,16139000,7158809000
713,15906000,7439671000
714,16005000,7709187000
715,16085000,7429118000
716,15881000,7903833000
717,16020000,7521424000
718,31946000,7590636000
719,16000000,7642374000
720,18810000,7508466000
721,16019000,7489803000
722,15900000,7993834000
723,16161000,7816765000
724,8004000,7638938000
725,15990000,8207481000
726,15993000,7685407000
727,23997000,7600428000
728,31987000,8302216000
729,39999000,7800133000
730,32114000,7698562000
731,8006000,7751712000
732,15970000,8329406000
733,31125000,7972096000
734,7999000,7985946000
735,16108000,7940861000
736,8000000,7888381000
737,24021000,7702428000
738,15989000,8129521000
739,16010000,8247281000
740,16943000,8208620000
741,16104000,7886307000
742,16012000,8192234000
743,15890000,8291740000
744,15985000,7909640000
745,15999000,8394438000
746,15996000,8236585000
747,16001000,8093176000
748,15986000,8186163000
749,16024000,8361576000
750,15966000,8731754000
751,16003000,8364800000
752,24000000,8270439000
753,15996000,8197189000
754,16103000,8570535000
755,15978000,8601536000
756,15978000,8683437000
757,31992000,8470342000
758,15978000,8948521000
759,15738000,8485887000
760,15988000,8513846000
761,15868000,8545366000
762,15998000,8511401000
763,16127000,8506434000
764,15745000,8630239000
765,16015000,8642001000
766,15993000,8255314000
767,12989000,8099025000
768,8155000,6466481000
769,8134000,1.11994E+11
770,17472000,8287400000
771,10738000,9812684000
772,16000000,9704924000
773,23969000,9205872000
774,24457000,9199232000
775,16000000,9171737000
776,15999000,8781827000
777,15997000,9192643000
778,24017000,8777574000
779,16019000,9318157000
780,31961000,9498971000
781,16025000,14789237000
782,32684000,17013664000
783,32552000,2.40613E+12
784,24480000,2.06168E+12
785,16119000,6510647000
786,8007000,6759925000
787,16006000,6745985000
788,15999000,6976723000
789,7899000,7882404000
790,22700000,7354190000
791,15999000,7318858000
792,16124000,6916659000
793,16015000,6768873000
794,8006000,6885197000
795,24126000,7146547000
796,16003000,8247278000
797,23985000,10229920000
798,16101000,12129505000
799,40093000,13586183000
800,24369000,8989980000
801,16313000,9523470000
802,16003000,11520053000
803,16000000,17392253000
804,39712000,13838616000
805,16006000,16936141000
806,39924000,15107644000
807,16480000,7333257000
808,13505000,7249297000
809,14009000,7590326000
810,12998000,7626315000
811,19125000,7477632000
812,13994000,7641599000
813,20121000,7560052000
814,14000000,7716194000
815,14000000,7618842000
816,16908000,7473835000
817,16001000,7667875000
818,14993000,7680363000
819,14014000,7527155000
820,13001000,7628632000
821,11993000,7665429000
822,15912000,8028161000
823,15000000,7911489000
824,14047000,7889324000
825,17007000,7658154000
826,17907000,7806167000
827,14005000,7923878000
828,14006000,7922612000
829,17000000,7941249000
830,12993000,7960495000
831,13000000,7899608000
832,13084000,7934936000
833,25296000,7895579000
834,15000000,8162048000
835,27008000,8006937000
836,13991000,8257408000
837,16000000,8731670000
838,14955000,9008679000
839,14503000,8153898000
840,14996000,8143583000
841,16000000,8403861000
842,16000000,8268771000
843,18005000,8235139000
844,13993000,8314439000
845,16000000,8334978000
846,16014000,8531742000
847,19273000,8771341000
848,16001000,8575001000
849,15010000,8173701000
850,25446000,8392250000
851,14991000,8336407000
852,16013000,7903252000
853,14923000,8057136000
854,17988000,8220606000
855,16003000,8206738000
856,14987000,8430084000
857,15919000,8642614000
858,15413000,8307419000
859,22994000,8093274000
860,18099000,8259816000
861,22000000,8078691000
862,15994000,8487808000
863,16999000,8773417000
864,13997000,8556459000
865,16000000,8796629000
866,15000000,9179836000
867,18000000,9045956000
868,22995000,8723537000
869,14998000,8248722000
870,16990000,8215335000
871,14987000,8521892000
872,12993000,9049971000
873,13988000,8925465000
874,18023000,9184360000
875,22051000,9014970000
876,14994000,8997360000
877,14911000,9000491000
878,14916000,8459731000
879,27230000,8544774000
880,15005000,8418309000
881,16922000,8512263000
882,14014000,8627097000
883,14544000,8807195000
884,16994000,8414623000
885,20008000,8456884000
886,20016000,8552894000
887,15021000,8580536000
888,26348000,8656037000
889,29235000,16808543000
890,40119000,10695157000
891,15544000,8667049000
892,16000000,8625971000
893,13999000,8510613000
894,14974000,8772935000
895,14995000,8752492000
896,15005000,8534371000
897,15000000,8936394000
898,15000000,9033923000
899,17919000,8814636000
900,19020000,8745685000
901,18381000,8959611000
902,15000000,8805502000
903,26010000,8746717000
904,14989000,8816564000
905,15085000,8786997000
906,15204000,8946284000
907,15000000,8922600000
908,21514000,9402589000
909,24944000,9666241000
910,17002000,9233107000
911,26286000,9498794000
912,16006000,9411512000
913,15986000,9191451000
914,22133000,9448898000
915,13998000,9575991000
916,15382000,9248018000
917,15016000,9398490000
918,15093000,9569292000
919,14999000,9346285000
920,15001000,9475203000
921,25242000,9596621000
922,17374000,9733825000
923,14992000,10169984000
924,21001000,10452825000
925,17031000,9284907000
926,16902000,9935051000
927,17086000,10057328000
928,17001000,10327692000
929,19904000,10317977000
930,17001000,9936496000
931,15902000,23981503000
932,56339000,22072309000
933,16994000,9522744000
934,15996000,9854309000
935,23999000,9858859000
936,14994000,9921148000
937,16921000,10240182000
938,16004000,10091105000
939,27616000,10359215000
940,17076000,10107406000
941,18257000,9745413000
942,17986000,10225677000
943,26314000,10266046000
944,16008000,10341839000
945,15999000,10437542000
946,19999000,10798951000
947,19327000,10335772000
948,18009000,10557778000
949,17141000,10398854000
950,19915000,10415057000
951,20000000,10407796000
952,23133000,10337069000
953,17018000,10576502000
954,18001000,10577079000
955,15998000,10806263000
956,18001000,10539078000
957,18001000,10734886000
958,16914000,10604655000
959,17097000,10814959000
960,17000000,10774499000
961,14000000,10894706000
962,20000000,10957779000
963,18000000,10746078000
964,22104000,10784075000
965,17005000,10845252000
966,19000000,10820822000
967,15994000,10696552000
968,14987000,10862516000
969,28080000,10710252000
970,27098000,10692144000
971,16975000,10828816000
972,16913000,10615249000
973,15049000,10474030000
974,21995000,10490480000
975,16080000,10552930000
976,27997000,10839309000
977,15000000,11069570000
978,16035000,10639161000
979,20987000,10935017000
980,14000000,10915720000
981,21603000,11085157000
982,14997000,11078342000
983,16092000,10878818000
984,15993000,11049738000
985,17013000,11206241000
986,16993000,11603485000
987,21087000,12334519000
988,21103000,11974088000
989,28043000,13840630000
990,26998000,16105499000
991,20463000,16604925000
992,23096000,18294808000
993,18996000,11442052000
994,16978000,11343406000
995,24081000,11711798000
996,18003000,11653387000
997,18997000,17958839000
998,27000000,17999872000
999,30906000,16061364000
1000,24144000,13402039000
