Block	MerSort	QuickSort	Swaps
1	0.000000	0.000000	454
2	0.000000	0.000000	1334
3	0.000000	0.000000	2972
4	0.000000	0.008000	5236
5	0.000000	0.000000	8183
6	0.000000	0.000000	11252
7	0.000000	0.000000	15175
8	0.000000	0.000000	19094
9	0.000000	0.000000	24917
10	0.000000	0.000000	31650
11	0.000000	0.000000	38476
12	0.000000	0.000000	47244
13	0.000000	0.000000	55896
14	0.000000	0.000000	64103
15	0.000000	0.000000	73709
16	0.000000	0.000000	85087
17	0.000000	0.000000	95771
18	0.000000	0.000000	109734
19	0.000000	0.000000	122817
20	0.000000	0.000000	135807
21	0.000000	0.000000	151111
22	0.000000	0.000000	166788
23	0.000000	0.000000	184139
24	0.000000	0.000000	202190
25	0.000000	0.000000	217978
26	0.000000	0.000000	239626
27	0.000000	0.000000	258385
28	0.000000	0.000000	278124
29	0.000000	0.000000	298512
30	0.000000	0.000000	319379
31	0.000000	0.000000	340429
32	0.000000	0.000000	366646
33	0.000000	0.000000	393222
34	0.000000	0.000000	414888
35	0.000000	0.000000	439313
36	0.000000	0.000000	471036
37	0.000000	0.000000	502253
38	0.000000	0.000000	531588
39	0.000000	0.000000	559377
40	0.008000	0.000000	591625
41	0.000000	0.000000	620616
42	0.000000	0.000000	652622
43	0.000000	0.000000	685600
44	0.000000	0.008000	715737
45	0.000000	0.000000	747347
46	0.000000	0.000000	784766
47	0.000000	0.000000	827441
48	0.008000	0.000000	862246
49	0.000000	0.000000	897496
50	0.000000	0.008000	937460
51	0.000000	0.000000	974579
52	0.000000	0.008000	1014878
53	0.000000	0.000000	1051822
54	0.000000	0.000000	1092103
55	0.000000	0.008000	1131447
56	0.000000	0.000000	1172610
57	0.000000	0.000000	1216604
58	0.000000	0.000000	1261016
59	0.000000	0.000000	1303229
60	0.000000	0.000000	1348565
61	0.008000	0.000000	1393971
62	0.000000	0.000000	1440129
63	0.000000	0.000000	1491583
64	0.000000	0.000000	1540556
65	0.000000	0.000000	1592320
66	0.000000	0.000000	1646834
67	0.000000	0.000000	1696195
68	0.008000	0.001000	1750293
69	0.000000	0.000000	1801025
70	0.008000	0.000000	1856088
71	0.000000	0.000000	1910931
72	0.008000	0.000000	1961456
73	0.000000	0.000000	2013232
74	0.008000	0.000000	2063757
75	0.000000	0.000000	2127381
76	0.000000	0.000000	2196337
77	0.000000	0.000000	2259724
78	0.008000	0.000000	2316768
79	0.000000	0.000000	2377561
80	0.000000	0.000000	2435164
81	0.000000	0.000000	2502594
82	0.000000	0.000000	2569076
83	0.000000	0.000000	2635680
84	0.008000	0.000000	2700377
85	0.000000	0.000000	2766419
86	0.000000	0.000000	2846218
87	0.000000	0.000000	2923677
88	0.000000	0.000000	2988062
89	0.000000	0.000000	3061856
90	0.000000	0.000000	3136037
91	0.000000	0.000000	3204963
92	0.000000	0.000000	3276644
93	0.000000	0.000000	3361795
94	0.000000	0.000000	3438494
95	0.001000	0.000000	3523023
96	0.000000	0.000000	3592328
97	0.000000	0.000000	3665335
98	0.000000	0.008000	3757076
99	0.000000	0.000000	3841432
100	0.000000	0.000000	3938152
101	0.008000	0.000000	4018559
102	0.000000	0.000000	4101351
103	0.000000	0.000000	4193047
104	0.000000	0.000000	4281391
105	0.000000	0.000000	4362737
106	0.000000	0.000000	4450952
107	0.000000	0.000000	4559084
108	0.000000	0.000000	4649512
109	0.000000	0.000000	4753744
110	0.000000	0.008000	4853608
111	0.000000	0.000000	4955613
112	0.000000	0.000000	5043420
113	0.000000	0.008000	5136012
114	0.000000	0.000000	5241911
115	0.009000	0.000000	5338303
116	0.000000	0.000000	5436832
117	0.000000	0.000000	5550811
118	0.009000	0.000000	5648117
119	0.000000	0.000000	5750989
120	0.000000	0.000000	5852214
121	0.007000	0.000000	5959373
122	0.000000	0.000000	6052281
123	0.000000	0.000000	6145138
124	0.000000	0.000000	6260373
125	0.000000	0.008000	6365051
126	0.000000	0.000000	6479162
127	0.000000	0.000000	6598571
128	0.008000	0.000000	6723202
129	0.000000	0.008000	6830276
130	0.000000	0.000000	6949051
131	0.000000	0.000000	7058518
132	0.000000	0.000000	7180785
133	0.000000	0.009000	7292752
134	0.000000	0.000000	7399334
135	0.000000	0.000000	7503576
136	0.008000	0.000000	7623920
137	0.000000	0.008000	7734575
138	0.000000	0.000000	7857264
139	0.000000	0.000000	7975823
140	0.000000	0.000000	8090770
141	0.000000	0.008000	8209135
142	0.000000	0.000000	8341813
143	0.000000	0.000000	8461995
144	0.000000	0.000000	8578876
145	0.008000	0.000000	8704225
146	0.008000	0.000000	8830035
147	0.000000	0.000000	8964825
148	0.008000	0.000000	9083119
149	0.000000	0.008000	9213241
150	0.000000	0.007000	9342629
151	0.008000	0.000000	9475124
152	0.001000	0.000000	9620992
153	0.000000	0.000000	9755603
154	0.000000	0.000000	9884903
155	0.000000	0.000000	10015476
156	0.000000	0.008000	10168105
157	0.000000	0.000000	10311842
158	0.000000	0.000000	10463892
159	0.000000	0.000000	10600370
160	0.000000	0.000000	10733991
161	0.000000	0.000000	10883318
162	0.009000	0.000000	11012306
163	0.008000	0.000000	11156643
164	0.008000	0.000000	11295204
165	0.000000	0.008000	11438466
166	0.000000	0.000000	11577956
167	0.000000	0.007000	11718012
168	0.000000	0.008000	11855793
169	0.000000	0.000000	12003126
170	0.000000	0.008000	12148789
171	0.000000	0.008000	12311416
172	0.000000	0.008000	12460130
173	0.000000	0.000000	12630046
174	0.000000	0.000000	12799189
175	0.000000	0.000000	12953151
176	0.000000	0.008000	13113126
177	0.003000	0.000000	13262582
178	0.000000	0.000000	13429646
179	0.000000	0.000000	13581988
180	0.000000	0.008000	13746009
181	0.000000	0.008000	13901968
182	0.000000	0.008000	14068718
183	0.008000	0.000000	14249458
184	0.000000	0.000000	14412246
185	0.000000	0.008000	14577479
186	0.000000	0.008000	14745400
187	0.008000	0.000000	14907087
188	0.008000	0.000000	15078339
189	0.000000	0.000000	15241961
190	0.000000	0.007000	15402364
191	0.008000	0.002000	15593298
192	0.000000	0.000000	15758843
193	0.000000	0.000000	15916501
194	0.000000	0.000000	16069171
195	0.008000	0.000000	16226304
196	0.000000	0.000000	16402535
197	0.009000	0.000000	16563107
198	0.000000	0.008000	16727492
199	0.002000	0.000000	16900680
200	0.000000	0.000000	17080403
201	0.000000	0.000000	17266736
202	0.000000	0.009000	17460345
203	0.008000	0.000000	17651230
204	0.008000	0.000000	17822171
205	0.000000	0.008000	17996539
206	0.009000	0.000000	18179148
207	0.008000	0.000000	18355270
208	0.000000	0.000000	18530823
209	0.000000	0.000000	18717303
210	0.000000	0.008000	18919354
211	0.008000	0.000000	19105534
212	0.000000	0.008000	19289250
213	0.000000	0.008000	19471148
214	0.000000	0.000000	19663583
215	0.007000	0.000000	19877556
216	0.000000	0.009000	20062052
217	0.000000	0.007000	20256107
218	0.000000	0.000000	20441528
219	0.000000	0.008000	20637237
220	0.000000	0.000000	20828722
221	0.000000	0.007000	21028791
222	0.000000	0.000000	21224719
223	0.000000	0.008000	21420572
224	0.006000	0.000000	21629102
225	0.000000	0.000000	21827011
226	0.000000	0.008000	22007548
227	0.008000	0.000000	22231454
228	0.000000	0.008000	22433881
229	0.007000	0.000000	22632021
230	0.000000	0.000000	22827006
231	0.000000	0.009000	23040361
232	0.007000	0.000000	23247467
233	0.000000	0.000000	23457051
234	0.000000	0.009000	23668917
235	0.008000	0.004000	23883717
236	0.008000	0.000000	24115438
237	0.000000	0.008000	24325864
238	0.008000	0.000000	24555448
239	0.000000	0.008000	24787449
240	0.009000	0.000000	24995122
241	0.000000	0.000000	25217554
242	0.008000	0.000000	25440090
243	0.009000	0.000000	25657007
244	0.000000	0.000000	25890543
245	0.000000	0.000000	26127261
246	0.000000	0.007000	26364974
247	0.010000	0.000000	26588723
248	0.000000	0.008000	26812822
249	0.008000	0.000000	27036309
250	0.000000	0.000000	27273396
251	0.008000	0.000000	27522894
252	0.000000	0.000000	27744149
253	0.000000	0.008000	27951987
254	0.000000	0.008000	28190869
255	0.008000	0.000000	28426793
256	0.008000	0.000000	28667166
257	0.000000	0.000000	28900323
258	0.008000	0.000000	29161502
259	0.000000	0.000000	29388834
260	0.000000	0.008000	29638056
261	0.000000	0.008000	29872877
262	0.000000	0.000000	30092317
263	0.000000	0.008000	30369349
264	0.008000	0.000000	30643008
265	0.000000	0.008000	30877823
266	0.008000	0.000000	31108348
267	0.007000	0.000000	31340005
268	0.008000	0.000000	31586749
269	0.000000	0.008000	31856196
270	0.008000	0.000000	32093161
271	0.006000	0.000000	32325083
272	0.000000	0.000000	32583973
273	0.008000	0.000000	32855582
274	0.009000	0.000000	33129340
275	0.006000	0.008000	33390214
276	0.000000	0.008000	33633064
277	0.000000	0.008000	33900925
278	0.000000	0.008000	34148392
279	0.000000	0.008000	34392660
280	0.000000	0.008000	34645899
281	0.008000	0.000000	34882844
282	0.008000	0.000000	35139956
283	0.008000	0.004000	35388095
284	0.008000	0.000000	35659206
285	0.008000	0.000000	35929165
286	0.000000	0.008000	36187353
287	0.000000	0.000000	36450263
288	0.008000	0.000000	36713439
289	0.000000	0.008000	36978293
290	0.008000	0.000000	37250175
291	0.006000	0.003000	37541290
292	0.000000	0.007000	37831211
293	0.000000	0.008000	38146631
294	0.001000	0.000000	38440468
295	0.008000	0.000000	38714850
296	0.008000	0.000000	38996492
297	0.010000	0.000000	39246935
298	0.000000	0.008000	39516119
299	0.008000	0.000000	39830860
300	0.008000	0.000000	40123294
301	0.008000	0.000000	40406412
302	0.000000	0.008000	40674539
303	0.008000	0.000000	40971313
304	0.000000	0.008000	41240248
305	0.000000	0.008000	41544282
306	0.008000	0.008000	41840550
307	0.008000	0.000000	42119615
308	0.000000	0.008000	42428682
309	0.005000	0.000000	42687030
310	0.008000	0.000000	43019865
311	0.000000	0.000000	43337281
312	0.008000	0.000000	43634681
313	0.002000	0.008000	43938625
314	0.000000	0.008000	44218359
315	0.008000	0.000000	44559065
316	0.008000	0.008000	44843261
317	0.008000	0.000000	45142915
318	0.000000	0.008000	45430871
319	0.000000	0.010000	45724805
320	0.008000	0.000000	46009071
321	0.000000	0.008000	46332575
322	0.008000	0.000000	46632897
323	0.008000	0.008000	46932471
324	0.008000	0.000000	47233329
325	0.000000	0.008000	47533227
326	0.008000	0.000000	47854412
327	0.000000	0.008000	48166474
328	0.007000	0.000000	48473146
329	0.008000	0.008000	48786068
330	0.008000	0.000000	49100731
331	0.003000	0.005000	49397127
332	0.008000	0.000000	49686029
333	0.000000	0.008000	50014192
334	0.000000	0.007000	50324055
335	0.009000	0.007000	50625722
336	0.008000	0.007000	50914671
337	0.000000	0.008000	51228608
338	0.008000	0.000000	51555132
339	0.000000	0.008000	51880652
340	0.000000	0.008000	52218625
341	0.008000	0.008000	52548916
342	0.008000	0.000000	52857558
343	0.000000	0.008000	53223237
344	0.008000	0.008000	53513108
345	0.008000	0.000000	53846633
346	0.000000	0.008000	54192533
347	0.008000	0.000000	54511107
348	0.008000	0.000000	54811566
349	0.008000	0.000000	55177424
350	0.008000	0.008000	55533695
351	0.008000	0.008000	55881494
352	0.008000	0.000000	56191155
353	0.008000	0.000000	56514751
354	0.000000	0.008000	56863571
355	0.008000	0.000000	57223050
356	0.008000	0.000000	57560656
357	0.008000	0.000000	57885679
358	0.000000	0.008000	58245383
359	0.009000	0.008000	58561848
360	0.008000	0.000000	58887142
361	0.000000	0.008000	59237280
362	0.008000	0.000000	59583459
363	0.008000	0.008000	59965211
364	0.000000	0.008000	60317070
365	0.008000	0.008000	60661374
366	0.008000	0.008000	61014045
367	0.000000	0.008000	61377571
368	0.008000	0.008000	61733360
369	0.008000	0.008000	62068831
370	0.000000	0.008000	62443245
371	0.000000	0.008000	62803076
372	0.006000	0.000000	63156743
373	0.008000	0.000000	63513734
374	0.000000	0.008000	63867766
375	0.006000	0.000000	64203998
376	0.000000	0.008000	64539233
377	0.008000	0.008000	64899876
378	0.008000	0.008000	65256801
379	0.000000	0.008000	65644403
380	0.008000	0.000000	66010709
381	0.017000	0.000000	66376687
382	0.008000	0.008000	66749349
383	0.008000	0.009000	67169932
384	0.008000	0.008000	67517507
385	0.000000	0.008000	67852232
386	0.008000	0.000000	68205206
387	0.008000	0.008000	68580518
388	0.008000	0.000000	68924814
389	0.009000	0.007000	69287979
390	0.008000	0.008000	69686999
391	0.009000	0.000000	70063331
392	0.008000	0.008000	70437120
393	0.016000	0.000000	70811663
394	0.008000	0.000000	71210459
395	0.008000	0.000000	71646205
396	0.008000	0.000000	72066110
397	0.008000	0.000000	72433463
398	0.000000	0.008000	72799617
399	0.008000	0.000000	73216992
400	0.008000	0.000000	73595786
401	0.008000	0.000000	74007348
402	0.008000	0.008000	74428516
403	0.008000	0.008000	74787050
404	0.000000	0.011000	75200129
405	0.008000	0.000000	75586836
406	0.000000	0.008000	75987452
407	0.008000	0.008000	76379878
408	0.008000	0.000000	76749088
409	0.000000	0.008000	77145880
410	0.008000	0.000000	77524078
411	0.000000	0.009000	77940316
412	0.009000	0.000000	78321891
413	0.001000	0.007000	78722088
414	0.007000	0.000000	79138405
415	0.007000	0.000000	79520863
416	0.000000	0.010000	79951661
417	0.008000	0.008000	80332041
418	0.008000	0.008000	80743280
419	0.016000	0.000000	81125460
420	0.000000	0.008000	81510919
421	0.008000	0.000000	81888627
422	0.000000	0.008000	82341844
423	0.008000	0.008000	82721865
424	0.000000	0.009000	83149484
425	0.009000	0.008000	83598082
426	0.007000	0.000000	83977092
427	0.000000	0.013000	84409013
428	0.008000	0.000000	84814139
429	0.008000	0.008000	85205875
430	0.008000	0.000000	85599283
431	0.008000	0.000000	86046599
432	0.008000	0.008000	86445558
433	0.008000	0.000000	86847072
434	0.008000	0.000000	87258106
435	0.008000	0.000000	87694116
436	0.000000	0.009000	88118698
437	0.009000	0.000000	88522961
438	0.008000	0.000000	88957037
439	0.000000	0.008000	89400631
440	0.008000	0.008000	89823352
441	0.008000	0.008000	90236023
442	0.008000	0.008000	90635788
443	0.008000	0.008000	91094893
444	0.016000	0.002000	91503603
445	0.009000	0.008000	91925222
446	0.000000	0.008000	92410649
447	0.016000	0.008000	92832864
448	0.008000	0.008000	93341955
449	0.008000	0.008000	93771933
450	0.008000	0.008000	94211900
451	0.008000	0.008000	94662511
452	0.008000	0.000000	95101810
453	0.005000	0.009000	95552502
454	0.008000	0.008000	95999602
455	0.009000	0.007000	96464921
456	0.008000	0.008000	96939755
457	0.007000	0.010000	97379948
458	0.005000	0.008000	97826579
459	0.009000	0.007000	98260428
460	0.008000	0.000000	98710505
461	0.008000	0.000000	99177200
462	0.008000	0.009000	99617896
463	0.008000	0.001000	100052249
464	0.008000	0.008000	100482581
465	0.008000	0.008000	100950607
466	0.007000	0.010000	101397242
467	0.008000	0.008000	101815068
468	0.008000	0.000000	102277625
469	0.000000	0.008000	102749951
470	0.008000	0.008000	103183292
471	0.000000	0.008000	103634690
472	0.009000	0.005000	104091962
473	0.012000	0.004000	104621040
474	0.010000	0.003000	105061844
475	0.006000	0.001000	105495824
476	0.010000	0.005000	105927933
477	0.009000	0.008000	106381370
478	0.010000	0.004000	106888866
479	0.008000	0.009000	107339096
480	0.011000	0.003000	107808368
481	0.008000	0.010000	108246741
482	0.010000	0.003000	108764690
483	0.009000	0.008000	109221669
484	0.004000	0.009000	109691012
485	0.002000	0.006000	110191570
486	0.003000	0.008000	110621217
487	0.010000	0.005000	111087309
488	0.000000	0.009000	111561026
489	0.005000	0.005000	112039489
490	0.014000	0.005000	112542129
491	0.007000	0.001000	113034336
492	0.006000	0.004000	113457629
493	0.007000	0.008000	113956733
494	0.006000	0.004000	114446066
495	0.008000	0.007000	114920148
496	0.004000	0.008000	115388092
497	0.010000	0.006000	115807789
498	0.009000	0.000000	116305527
499	0.004000	0.008000	116757649
500	0.008000	0.004000	117214911
501	0.007000	0.010000	117684555
502	0.009000	0.000000	118146457
503	0.007000	0.005000	118595916
504	0.012000	0.005000	119082817
505	0.007000	0.007000	119561376
506	0.010000	0.014000	120067264
507	0.010000	0.010000	120599867
508	0.012000	0.010000	121104139
509	0.014000	0.009000	121583862
510	0.012000	0.016000	122071712
511	0.017000	0.008000	122566769
512	0.018000	0.006000	123043595
